NO.,Time,Value,Pressure
649,오후 8:37:21,0 N,0.0000MPa
648,오후 8:37:21,0 N,0.0000MPa
647,오후 8:37:21,0 N,0.0000MPa
646,오후 8:37:21,0 N,0.0000MPa
645,오후 8:37:21,0 N,0.0000MPa
644,오후 8:37:21,0 N,0.0000MPa
643,오후 8:37:20,0 N,0.0000MPa
642,오후 8:37:20,0 N,0.0000MPa
641,오후 8:37:20,0 N,0.0000MPa
640,오후 8:37:20,0 N,0.0000MPa
639,오후 8:37:20,0 N,0.0000MPa
638,오후 8:37:19,0 N,0.0000MPa
637,오후 8:37:19,0 N,0.0000MPa
636,오후 8:37:19,0 N,0.0000MPa
635,오후 8:37:19,0 N,0.0000MPa
634,오후 8:37:19,0 N,0.0000MPa
633,오후 8:37:18,0 N,0.0000MPa
632,오후 8:37:18,0 N,0.0000MPa
631,오후 8:37:18,0 N,0.0000MPa
630,오후 8:37:18,0 N,0.0000MPa
629,오후 8:37:18,0 N,0.0000MPa
628,오후 8:37:18,0 N,0.0000MPa
627,오후 8:37:17,0 N,0.0000MPa
626,오후 8:37:17,0 N,0.0000MPa
625,오후 8:37:17,0 N,0.0000MPa
624,오후 8:37:17,0 N,0.0000MPa
623,오후 8:37:17,0 N,0.0000MPa
622,오후 8:37:16,0 N,0.0000MPa
621,오후 8:37:16,0 N,0.0000MPa
620,오후 8:37:16,0 N,0.0000MPa
619,오후 8:37:16,0 N,0.0000MPa
618,오후 8:37:16,0 N,0.0000MPa
617,오후 8:37:15,0 N,0.0000MPa
616,오후 8:37:15,0 N,0.0000MPa
615,오후 8:37:15,0 N,0.0000MPa
614,오후 8:37:15,0 N,0.0000MPa
613,오후 8:37:15,0 N,0.0000MPa
612,오후 8:37:14,0 N,0.0000MPa
611,오후 8:37:14,0 N,0.0000MPa
610,오후 8:37:14,0 N,0.0000MPa
609,오후 8:37:14,0 N,0.0000MPa
608,오후 8:37:14,0 N,0.0000MPa
607,오후 8:37:14,0 N,0.0000MPa
606,오후 8:37:13,0 N,0.0000MPa
605,오후 8:37:13,0 N,0.0000MPa
604,오후 8:37:13,0 N,0.0000MPa
603,오후 8:37:13,0 N,0.0000MPa
602,오후 8:37:13,0 N,0.0000MPa
601,오후 8:37:12,0 N,0.0000MPa
600,오후 8:37:12,0 N,0.0000MPa
599,오후 8:37:12,0 N,0.0000MPa
598,오후 8:37:12,0 N,0.0000MPa
597,오후 8:37:12,0 N,0.0000MPa
596,오후 8:37:11,0 N,0.0000MPa
595,오후 8:37:11,0 N,0.0000MPa
594,오후 8:37:11,0 N,0.0000MPa
593,오후 8:37:11,0 N,0.0000MPa
592,오후 8:37:11,0 N,0.0000MPa
591,오후 8:37:11,0 N,0.0000MPa
590,오후 8:37:10,0 N,0.0000MPa
589,오후 8:37:10,0 N,0.0000MPa
588,오후 8:37:10,0 N,0.0000MPa
587,오후 8:37:10,0 N,0.0000MPa
586,오후 8:37:10,0 N,0.0000MPa
585,오후 8:37:09,0 N,0.0000MPa
584,오후 8:37:09,0 N,0.0000MPa
583,오후 8:37:09,0 N,0.0000MPa
582,오후 8:37:09,0 N,0.0000MPa
581,오후 8:37:09,0 N,0.0000MPa
580,오후 8:37:08,0 N,0.0000MPa
579,오후 8:37:08,0 N,0.0000MPa
578,오후 8:37:08,0 N,0.0000MPa
577,오후 8:37:08,0 N,0.0000MPa
576,오후 8:37:08,0 N,0.0000MPa
575,오후 8:37:08,0 N,0.0000MPa
574,오후 8:37:07,0 N,0.0000MPa
573,오후 8:37:07,0 N,0.0000MPa
572,오후 8:37:07,0 N,0.0000MPa
571,오후 8:37:07,0 N,0.0000MPa
570,오후 8:37:07,2 N,2.0000MPa
569,오후 8:37:06,46 N,46.0000MPa
568,오후 8:37:06,131 N,131.0000MPa
567,오후 8:37:06,143 N,143.0000MPa
566,오후 8:37:06,143 N,143.0000MPa
565,오후 8:37:06,143 N,143.0000MPa
564,오후 8:37:05,143 N,143.0000MPa
563,오후 8:37:05,144 N,144.0000MPa
562,오후 8:37:05,145 N,145.0000MPa
561,오후 8:37:05,124 N,124.0000MPa
560,오후 8:37:05,99 N,99.0000MPa
559,오후 8:37:05,67 N,67.0000MPa
558,오후 8:37:04,38 N,38.0000MPa
557,오후 8:37:04,11 N,11.0000MPa
556,오후 8:37:04,0 N,0.0000MPa
555,오후 8:37:04,0 N,0.0000MPa
554,오후 8:37:04,0 N,0.0000MPa
553,오후 8:37:03,0 N,0.0000MPa
552,오후 8:37:03,0 N,0.0000MPa
551,오후 8:37:03,0 N,0.0000MPa
550,오후 8:37:03,0 N,0.0000MPa
549,오후 8:37:03,0 N,0.0000MPa
548,오후 8:37:02,0 N,0.0000MPa
547,오후 8:37:02,0 N,0.0000MPa
546,오후 8:37:02,0 N,0.0000MPa
545,오후 8:37:02,0 N,0.0000MPa
544,오후 8:37:02,0 N,0.0000MPa
543,오후 8:37:02,0 N,0.0000MPa
542,오후 8:37:01,0 N,0.0000MPa
541,오후 8:37:01,0 N,0.0000MPa
540,오후 8:37:01,0 N,0.0000MPa
539,오후 8:37:01,0 N,0.0000MPa
538,오후 8:37:01,0 N,0.0000MPa
537,오후 8:37:00,0 N,0.0000MPa
536,오후 8:37:00,0 N,0.0000MPa
535,오후 8:37:00,0 N,0.0000MPa
534,오후 8:37:00,0 N,0.0000MPa
533,오후 8:37:00,0 N,0.0000MPa
532,오후 8:36:59,0 N,0.0000MPa
531,오후 8:36:59,0 N,0.0000MPa
530,오후 8:36:59,0 N,0.0000MPa
529,오후 8:36:59,0 N,0.0000MPa
528,오후 8:36:59,0 N,0.0000MPa
527,오후 8:36:59,0 N,0.0000MPa
526,오후 8:36:58,0 N,0.0000MPa
525,오후 8:36:58,0 N,0.0000MPa
524,오후 8:36:58,0 N,0.0000MPa
523,오후 8:36:58,0 N,0.0000MPa
522,오후 8:36:58,0 N,0.0000MPa
521,오후 8:36:57,0 N,0.0000MPa
520,오후 8:36:57,0 N,0.0000MPa
519,오후 8:36:57,0 N,0.0000MPa
518,오후 8:36:57,0 N,0.0000MPa
517,오후 8:36:57,0 N,0.0000MPa
516,오후 8:36:56,0 N,0.0000MPa
515,오후 8:36:56,0 N,0.0000MPa
514,오후 8:36:56,0 N,0.0000MPa
513,오후 8:36:56,0 N,0.0000MPa
512,오후 8:36:56,0 N,0.0000MPa
511,오후 8:36:56,0 N,0.0000MPa
510,오후 8:36:55,0 N,0.0000MPa
509,오후 8:36:55,0 N,0.0000MPa
508,오후 8:36:55,0 N,0.0000MPa
507,오후 8:36:55,0 N,0.0000MPa
506,오후 8:36:55,0 N,0.0000MPa
505,오후 8:36:54,0 N,0.0000MPa
504,오후 8:36:54,0 N,0.0000MPa
503,오후 8:36:54,0 N,0.0000MPa
502,오후 8:36:54,0 N,0.0000MPa
501,오후 8:36:54,0 N,0.0000MPa
500,오후 8:36:53,0 N,0.0000MPa
499,오후 8:36:53,0 N,0.0000MPa
498,오후 8:36:53,0 N,0.0000MPa
497,오후 8:36:53,0 N,0.0000MPa
496,오후 8:36:53,0 N,0.0000MPa
495,오후 8:36:52,0 N,0.0000MPa
494,오후 8:36:52,0 N,0.0000MPa
493,오후 8:36:52,0 N,0.0000MPa
492,오후 8:36:52,0 N,0.0000MPa
491,오후 8:36:52,0 N,0.0000MPa
490,오후 8:36:52,0 N,0.0000MPa
489,오후 8:36:51,0 N,0.0000MPa
488,오후 8:36:51,0 N,0.0000MPa
487,오후 8:36:51,0 N,0.0000MPa
486,오후 8:36:51,0 N,0.0000MPa
485,오후 8:36:51,0 N,0.0000MPa
484,오후 8:36:50,0 N,0.0000MPa
483,오후 8:36:50,0 N,0.0000MPa
482,오후 8:36:50,0 N,0.0000MPa
481,오후 8:36:50,0 N,0.0000MPa
480,오후 8:36:50,0 N,0.0000MPa
479,오후 8:36:50,0 N,0.0000MPa
478,오후 8:36:49,0 N,0.0000MPa
477,오후 8:36:49,0 N,0.0000MPa
476,오후 8:36:49,0 N,0.0000MPa
475,오후 8:36:49,0 N,0.0000MPa
474,오후 8:36:49,0 N,0.0000MPa
473,오후 8:36:48,0 N,0.0000MPa
472,오후 8:36:48,0 N,0.0000MPa
471,오후 8:36:48,0 N,0.0000MPa
470,오후 8:36:48,0 N,0.0000MPa
469,오후 8:36:48,0 N,0.0000MPa
468,오후 8:36:47,0 N,0.0000MPa
467,오후 8:36:47,0 N,0.0000MPa
466,오후 8:36:47,0 N,0.0000MPa
465,오후 8:36:47,0 N,0.0000MPa
464,오후 8:36:47,0 N,0.0000MPa
463,오후 8:36:46,0 N,0.0000MPa
462,오후 8:36:46,0 N,0.0000MPa
461,오후 8:36:46,0 N,0.0000MPa
460,오후 8:36:46,0 N,0.0000MPa
459,오후 8:36:46,0 N,0.0000MPa
458,오후 8:36:46,0 N,0.0000MPa
457,오후 8:36:45,0 N,0.0000MPa
456,오후 8:36:45,0 N,0.0000MPa
455,오후 8:36:45,0 N,0.0000MPa
454,오후 8:36:45,0 N,0.0000MPa
453,오후 8:36:45,0 N,0.0000MPa
452,오후 8:36:44,0 N,0.0000MPa
451,오후 8:36:44,0 N,0.0000MPa
450,오후 8:36:44,0 N,0.0000MPa
449,오후 8:36:44,0 N,0.0000MPa
448,오후 8:36:44,0 N,0.0000MPa
447,오후 8:36:43,0 N,0.0000MPa
446,오후 8:36:43,0 N,0.0000MPa
445,오후 8:36:43,0 N,0.0000MPa
444,오후 8:36:43,0 N,0.0000MPa
443,오후 8:36:43,0 N,0.0000MPa
442,오후 8:36:43,0 N,0.0000MPa
441,오후 8:36:42,0 N,0.0000MPa
440,오후 8:36:42,0 N,0.0000MPa
439,오후 8:36:42,20 N,20.0000MPa
438,오후 8:36:42,78 N,78.0000MPa
437,오후 8:36:42,176 N,176.0000MPa
436,오후 8:36:41,229 N,229.0000MPa
435,오후 8:36:41,229 N,229.0000MPa
434,오후 8:36:41,229 N,229.0000MPa
433,오후 8:36:41,229 N,229.0000MPa
432,오후 8:36:41,230 N,230.0000MPa
431,오후 8:36:40,230 N,230.0000MPa
430,오후 8:36:40,231 N,231.0000MPa
429,오후 8:36:40,231 N,231.0000MPa
428,오후 8:36:40,208 N,208.0000MPa
427,오후 8:36:40,178 N,178.0000MPa
426,오후 8:36:40,141 N,141.0000MPa
425,오후 8:36:39,93 N,93.0000MPa
424,오후 8:36:39,52 N,52.0000MPa
423,오후 8:36:39,25 N,25.0000MPa
422,오후 8:36:39,11 N,11.0000MPa
421,오후 8:36:39,0 N,0.0000MPa
420,오후 8:36:38,0 N,0.0000MPa
419,오후 8:36:38,0 N,0.0000MPa
418,오후 8:36:38,0 N,0.0000MPa
417,오후 8:36:38,0 N,0.0000MPa
416,오후 8:36:38,0 N,0.0000MPa
415,오후 8:36:37,0 N,0.0000MPa
414,오후 8:36:37,0 N,0.0000MPa
413,오후 8:36:37,0 N,0.0000MPa
412,오후 8:36:37,0 N,0.0000MPa
411,오후 8:36:37,0 N,0.0000MPa
410,오후 8:36:36,0 N,0.0000MPa
409,오후 8:36:36,0 N,0.0000MPa
408,오후 8:36:36,0 N,0.0000MPa
407,오후 8:36:36,0 N,0.0000MPa
406,오후 8:36:36,0 N,0.0000MPa
405,오후 8:36:36,0 N,0.0000MPa
404,오후 8:36:35,0 N,0.0000MPa
403,오후 8:36:35,0 N,0.0000MPa
402,오후 8:36:35,0 N,0.0000MPa
401,오후 8:36:35,0 N,0.0000MPa
400,오후 8:36:35,0 N,0.0000MPa
399,오후 8:36:34,0 N,0.0000MPa
398,오후 8:36:34,0 N,0.0000MPa
397,오후 8:36:34,0 N,0.0000MPa
396,오후 8:36:34,0 N,0.0000MPa
395,오후 8:36:34,0 N,0.0000MPa
394,오후 8:36:34,0 N,0.0000MPa
393,오후 8:36:33,0 N,0.0000MPa
392,오후 8:36:33,0 N,0.0000MPa
391,오후 8:36:33,0 N,0.0000MPa
390,오후 8:36:33,0 N,0.0000MPa
389,오후 8:36:33,0 N,0.0000MPa
388,오후 8:36:32,0 N,0.0000MPa
387,오후 8:36:32,0 N,0.0000MPa
386,오후 8:36:32,0 N,0.0000MPa
385,오후 8:36:32,0 N,0.0000MPa
384,오후 8:36:32,0 N,0.0000MPa
383,오후 8:36:31,0 N,0.0000MPa
382,오후 8:36:31,0 N,0.0000MPa
381,오후 8:36:31,0 N,0.0000MPa
380,오후 8:36:31,0 N,0.0000MPa
379,오후 8:36:31,0 N,0.0000MPa
378,오후 8:36:31,0 N,0.0000MPa
377,오후 8:36:30,0 N,0.0000MPa
376,오후 8:36:30,0 N,0.0000MPa
375,오후 8:36:30,0 N,0.0000MPa
374,오후 8:36:30,0 N,0.0000MPa
373,오후 8:36:30,0 N,0.0000MPa
372,오후 8:36:29,0 N,0.0000MPa
371,오후 8:36:29,0 N,0.0000MPa
370,오후 8:36:29,0 N,0.0000MPa
369,오후 8:36:29,0 N,0.0000MPa
368,오후 8:36:29,0 N,0.0000MPa
367,오후 8:36:28,0 N,0.0000MPa
366,오후 8:36:28,0 N,0.0000MPa
365,오후 8:36:28,0 N,0.0000MPa
364,오후 8:36:28,0 N,0.0000MPa
363,오후 8:36:28,0 N,0.0000MPa
362,오후 8:36:28,0 N,0.0000MPa
361,오후 8:36:27,0 N,0.0000MPa
360,오후 8:36:27,0 N,0.0000MPa
359,오후 8:36:27,0 N,0.0000MPa
358,오후 8:36:27,0 N,0.0000MPa
357,오후 8:36:27,0 N,0.0000MPa
356,오후 8:36:26,0 N,0.0000MPa
355,오후 8:36:26,0 N,0.0000MPa
354,오후 8:36:26,0 N,0.0000MPa
353,오후 8:36:26,0 N,0.0000MPa
352,오후 8:36:26,0 N,0.0000MPa
351,오후 8:36:25,0 N,0.0000MPa
350,오후 8:36:25,0 N,0.0000MPa
349,오후 8:36:25,0 N,0.0000MPa
348,오후 8:36:25,0 N,0.0000MPa
347,오후 8:36:25,0 N,0.0000MPa
346,오후 8:36:24,0 N,0.0000MPa
345,오후 8:36:24,0 N,0.0000MPa
344,오후 8:36:24,0 N,0.0000MPa
343,오후 8:36:24,0 N,0.0000MPa
342,오후 8:36:24,0 N,0.0000MPa
341,오후 8:36:24,0 N,0.0000MPa
340,오후 8:36:23,0 N,0.0000MPa
339,오후 8:36:23,0 N,0.0000MPa
338,오후 8:36:23,0 N,0.0000MPa
337,오후 8:36:23,0 N,0.0000MPa
336,오후 8:36:23,0 N,0.0000MPa
335,오후 8:36:22,0 N,0.0000MPa
334,오후 8:36:22,0 N,0.0000MPa
333,오후 8:36:22,0 N,0.0000MPa
332,오후 8:36:22,0 N,0.0000MPa
331,오후 8:36:22,0 N,0.0000MPa
330,오후 8:36:21,0 N,0.0000MPa
329,오후 8:36:21,0 N,0.0000MPa
328,오후 8:36:21,0 N,0.0000MPa
327,오후 8:36:21,0 N,0.0000MPa
326,오후 8:36:21,0 N,0.0000MPa
325,오후 8:36:21,0 N,0.0000MPa
324,오후 8:36:20,0 N,0.0000MPa
323,오후 8:36:20,0 N,0.0000MPa
322,오후 8:36:20,0 N,0.0000MPa
321,오후 8:36:20,0 N,0.0000MPa
320,오후 8:36:20,0 N,0.0000MPa
319,오후 8:36:19,0 N,0.0000MPa
318,오후 8:36:19,0 N,0.0000MPa
317,오후 8:36:19,0 N,0.0000MPa
316,오후 8:36:19,0 N,0.0000MPa
315,오후 8:36:19,0 N,0.0000MPa
314,오후 8:36:18,0 N,0.0000MPa
313,오후 8:36:18,0 N,0.0000MPa
312,오후 8:36:18,0 N,0.0000MPa
311,오후 8:36:18,0 N,0.0000MPa
310,오후 8:36:18,0 N,0.0000MPa
309,오후 8:36:18,5 N,5.0000MPa
308,오후 8:36:17,56 N,56.0000MPa
307,오후 8:36:17,137 N,137.0000MPa
306,오후 8:36:17,141 N,141.0000MPa
305,오후 8:36:17,141 N,141.0000MPa
304,오후 8:36:17,141 N,141.0000MPa
303,오후 8:36:16,141 N,141.0000MPa
302,오후 8:36:16,142 N,142.0000MPa
301,오후 8:36:16,142 N,142.0000MPa
300,오후 8:36:16,129 N,129.0000MPa
299,오후 8:36:16,86 N,86.0000MPa
298,오후 8:36:15,33 N,33.0000MPa
297,오후 8:36:15,0 N,0.0000MPa
296,오후 8:36:15,0 N,0.0000MPa
295,오후 8:36:15,0 N,0.0000MPa
294,오후 8:36:15,19 N,19.0000MPa
293,오후 8:36:15,93 N,93.0000MPa
292,오후 8:36:14,141 N,141.0000MPa
291,오후 8:36:14,141 N,141.0000MPa
290,오후 8:36:14,141 N,141.0000MPa
289,오후 8:36:14,141 N,141.0000MPa
288,오후 8:36:14,141 N,141.0000MPa
287,오후 8:36:13,141 N,141.0000MPa
286,오후 8:36:13,142 N,142.0000MPa
285,오후 8:36:13,116 N,116.0000MPa
284,오후 8:36:13,71 N,71.0000MPa
283,오후 8:36:13,18 N,18.0000MPa
282,오후 8:36:12,0 N,0.0000MPa
281,오후 8:36:12,0 N,0.0000MPa
280,오후 8:36:12,2 N,2.0000MPa
279,오후 8:36:12,48 N,48.0000MPa
278,오후 8:36:12,132 N,132.0000MPa
277,오후 8:36:12,141 N,141.0000MPa
276,오후 8:36:11,141 N,141.0000MPa
275,오후 8:36:11,141 N,141.0000MPa
274,오후 8:36:11,141 N,141.0000MPa
273,오후 8:36:11,141 N,141.0000MPa
272,오후 8:36:11,107 N,107.0000MPa
271,오후 8:36:10,57 N,57.0000MPa
270,오후 8:36:10,7 N,7.0000MPa
269,오후 8:36:10,0 N,0.0000MPa
268,오후 8:36:10,0 N,0.0000MPa
267,오후 8:36:10,11 N,11.0000MPa
266,오후 8:36:09,75 N,75.0000MPa
265,오후 8:36:09,140 N,140.0000MPa
264,오후 8:36:09,140 N,140.0000MPa
263,오후 8:36:09,141 N,141.0000MPa
262,오후 8:36:09,141 N,141.0000MPa
261,오후 8:36:09,141 N,141.0000MPa
260,오후 8:36:08,141 N,141.0000MPa
259,오후 8:36:08,142 N,142.0000MPa
258,오후 8:36:08,125 N,125.0000MPa
257,오후 8:36:08,83 N,83.0000MPa
256,오후 8:36:08,31 N,31.0000MPa
255,오후 8:36:07,0 N,0.0000MPa
254,오후 8:36:07,0 N,0.0000MPa
253,오후 8:36:07,1 N,1.0000MPa
252,오후 8:36:07,38 N,38.0000MPa
251,오후 8:36:07,123 N,123.0000MPa
250,오후 8:36:06,141 N,141.0000MPa
249,오후 8:36:06,141 N,141.0000MPa
248,오후 8:36:06,141 N,141.0000MPa
247,오후 8:36:06,142 N,142.0000MPa
246,오후 8:36:06,142 N,142.0000MPa
245,오후 8:36:05,142 N,142.0000MPa
244,오후 8:36:05,142 N,142.0000MPa
243,오후 8:36:05,113 N,113.0000MPa
242,오후 8:36:05,68 N,68.0000MPa
241,오후 8:36:05,15 N,15.0000MPa
240,오후 8:36:05,0 N,0.0000MPa
239,오후 8:36:04,0 N,0.0000MPa
238,오후 8:36:04,10 N,10.0000MPa
237,오후 8:36:04,70 N,70.0000MPa
236,오후 8:36:04,142 N,142.0000MPa
235,오후 8:36:04,142 N,142.0000MPa
234,오후 8:36:03,142 N,142.0000MPa
233,오후 8:36:03,142 N,142.0000MPa
232,오후 8:36:03,143 N,143.0000MPa
231,오후 8:36:03,143 N,143.0000MPa
230,오후 8:36:03,143 N,143.0000MPa
229,오후 8:36:03,137 N,137.0000MPa
228,오후 8:36:02,99 N,99.0000MPa
227,오후 8:36:02,48 N,48.0000MPa
226,오후 8:36:02,4 N,4.0000MPa
225,오후 8:36:02,0 N,0.0000MPa
224,오후 8:36:02,2 N,2.0000MPa
223,오후 8:36:01,45 N,45.0000MPa
222,오후 8:36:01,132 N,132.0000MPa
221,오후 8:36:01,142 N,142.0000MPa
220,오후 8:36:01,142 N,142.0000MPa
219,오후 8:36:01,142 N,142.0000MPa
218,오후 8:36:00,143 N,143.0000MPa
217,오후 8:36:00,143 N,143.0000MPa
216,오후 8:36:00,144 N,144.0000MPa
215,오후 8:36:00,141 N,141.0000MPa
214,오후 8:36:00,118 N,118.0000MPa
213,오후 8:35:59,92 N,92.0000MPa
212,오후 8:35:59,61 N,61.0000MPa
211,오후 8:35:59,35 N,35.0000MPa
210,오후 8:35:59,10 N,10.0000MPa
209,오후 8:35:59,0 N,0.0000MPa
208,오후 8:35:59,0 N,0.0000MPa
207,오후 8:35:58,0 N,0.0000MPa
206,오후 8:35:58,0 N,0.0000MPa
205,오후 8:35:58,0 N,0.0000MPa
204,오후 8:35:58,0 N,0.0000MPa
203,오후 8:35:58,0 N,0.0000MPa
202,오후 8:35:57,0 N,0.0000MPa
201,오후 8:35:57,0 N,0.0000MPa
200,오후 8:35:57,0 N,0.0000MPa
199,오후 8:35:57,0 N,0.0000MPa
198,오후 8:35:57,0 N,0.0000MPa
197,오후 8:35:56,0 N,0.0000MPa
196,오후 8:35:56,0 N,0.0000MPa
195,오후 8:35:56,0 N,0.0000MPa
194,오후 8:35:56,0 N,0.0000MPa
193,오후 8:35:56,0 N,0.0000MPa
192,오후 8:35:56,0 N,0.0000MPa
191,오후 8:35:55,0 N,0.0000MPa
190,오후 8:35:55,0 N,0.0000MPa
189,오후 8:35:55,0 N,0.0000MPa
188,오후 8:35:55,0 N,0.0000MPa
187,오후 8:35:55,0 N,0.0000MPa
186,오후 8:35:54,0 N,0.0000MPa
185,오후 8:35:54,0 N,0.0000MPa
184,오후 8:35:54,0 N,0.0000MPa
183,오후 8:35:54,0 N,0.0000MPa
182,오후 8:35:54,0 N,0.0000MPa
181,오후 8:35:53,0 N,0.0000MPa
180,오후 8:35:53,0 N,0.0000MPa
179,오후 8:35:53,0 N,0.0000MPa
178,오후 8:35:53,0 N,0.0000MPa
177,오후 8:35:53,0 N,0.0000MPa
176,오후 8:35:53,0 N,0.0000MPa
175,오후 8:35:52,0 N,0.0000MPa
174,오후 8:35:52,0 N,0.0000MPa
173,오후 8:35:52,0 N,0.0000MPa
172,오후 8:35:52,0 N,0.0000MPa
171,오후 8:35:52,0 N,0.0000MPa
170,오후 8:35:51,0 N,0.0000MPa
169,오후 8:35:51,0 N,0.0000MPa
168,오후 8:35:51,0 N,0.0000MPa
167,오후 8:35:51,0 N,0.0000MPa
166,오후 8:35:51,0 N,0.0000MPa
165,오후 8:35:50,0 N,0.0000MPa
164,오후 8:35:50,0 N,0.0000MPa
163,오후 8:35:50,0 N,0.0000MPa
162,오후 8:35:50,0 N,0.0000MPa
161,오후 8:35:50,0 N,0.0000MPa
160,오후 8:35:50,0 N,0.0000MPa
159,오후 8:35:49,0 N,0.0000MPa
158,오후 8:35:49,0 N,0.0000MPa
157,오후 8:35:49,0 N,0.0000MPa
156,오후 8:35:49,0 N,0.0000MPa
155,오후 8:35:49,0 N,0.0000MPa
154,오후 8:35:48,0 N,0.0000MPa
153,오후 8:35:48,0 N,0.0000MPa
152,오후 8:35:48,0 N,0.0000MPa
151,오후 8:35:48,0 N,0.0000MPa
150,오후 8:35:48,0 N,0.0000MPa
149,오후 8:35:47,0 N,0.0000MPa
148,오후 8:35:47,0 N,0.0000MPa
147,오후 8:35:47,0 N,0.0000MPa
146,오후 8:35:47,0 N,0.0000MPa
145,오후 8:35:47,0 N,0.0000MPa
144,오후 8:35:47,0 N,0.0000MPa
143,오후 8:35:46,0 N,0.0000MPa
142,오후 8:35:46,0 N,0.0000MPa
141,오후 8:35:46,0 N,0.0000MPa
140,오후 8:35:46,0 N,0.0000MPa
139,오후 8:35:46,0 N,0.0000MPa
138,오후 8:35:45,0 N,0.0000MPa
